replication,threshold_eci_pre,rss_selected
529,-0.907,456.1255170181016
530,-0.907,456.6930608663798
531,-0.907,457.65089454249465
532,-0.73925,457.74188507468483
533,-0.73925,455.36047456398376
534,-0.38943333,456.7657247103002
535,-0.57963333,457.1603561721728
536,-0.907,457.86881421035446
537,-0.907,457.7006296798523
538,-0.73925,455.6083205058694
539,-0.907,457.23402293042574
540,-0.907,454.9610727697012
541,0.51945,455.74683745105676
542,-0.907,455.2942766726474
543,-0.73925,457.68445439070086
544,-0.907,458.0919262302019
545,-0.73925,455.78830583866437
546,-0.907,456.69278361412364
547,-0.57963333,455.6271736042959
548,-0.907,457.203375140301
549,-0.73925,456.1872114413013
550,-0.907,457.06127201377956
551,-0.73925,452.6719423070763
552,-0.907,457.53909070223597
553,-0.57963333,457.78757381104793
554,-0.907,457.8259497855197
555,-0.907,457.0098425978252
556,-0.907,457.2907469718777
557,-0.907,456.04839577948945
558,-0.907,452.8562867302324
559,-0.907,457.9872843495845
560,-0.57963333,457.6141681891031
561,-0.907,453.74311484901705
562,-0.907,458.0292345897925
563,-0.907,457.67454011739824
564,-0.907,458.1028362971556
565,-0.907,454.67728174862486
566,-0.57963333,458.3531385500189
567,-0.907,458.6950479235847
568,-0.907,457.42250668437373
569,-0.907,452.19432367520636
570,-0.907,456.5262609140181
571,-0.907,452.41119708879205
572,-0.907,455.38794968909804
573,-0.907,456.59367481077174
574,-0.907,456.97186551810654
575,-0.57963333,458.5681989468636
576,-0.57963333,457.48717336397164
577,0.51945,456.6653089450348
578,-0.907,458.16747548490224
579,-0.21506667,457.08776651869255
580,-0.907,458.1480971147963
581,-0.907,457.2807289526374
582,-0.73925,455.0214872245254
583,-0.57963333,453.822045071171
584,-0.57963333,458.106038196628
585,-0.907,454.32801276982036
586,-0.907,457.92610621751703
587,-0.57963333,453.1814800015484
588,-0.73925,458.04380078176325
