country_iso3_code,cate_mean_country,dv
CHL,0.6927951938187094,DV1_GVC_Linkage_Change
AUS,0.7794666084974755,DV1_GVC_Linkage_Change
VEN,-0.32713361091566134,DV2_Export_Recovery
GUM,-0.30812181424724505,DV2_Export_Recovery
PSE,-0.17429600956953045,DV2_Export_Recovery
BMU,-0.17327256422884335,DV2_Export_Recovery
BHS,-0.16292769487753317,DV2_Export_Recovery
SAU,-0.16100460429166225,DV2_Export_Recovery
ASM,-0.1470643018963161,DV2_Export_Recovery
LBN,-0.1410342521780627,DV2_Export_Recovery
KWT,-0.14009248492746987,DV2_Export_Recovery
NRU,-0.13667075797749872,DV2_Export_Recovery
ISL,-0.12352488966253561,DV2_Export_Recovery
JPN,-0.11717913238298883,DV2_Export_Recovery
GRC,-0.11520810034275977,DV2_Export_Recovery
ISR,-0.10962955427114833,DV2_Export_Recovery
TUR,-0.09849153025797008,DV2_Export_Recovery
PYF,-0.08981504564771199,DV2_Export_Recovery
FRA,-0.08884918674569357,DV2_Export_Recovery
PRT,-0.08430215944489157,DV2_Export_Recovery
FIN,-0.08360589719747527,DV2_Export_Recovery
DEU,-0.08229606766450732,DV2_Export_Recovery
ESP,-0.08211702583123734,DV2_Export_Recovery
KOR,-0.08169942191611591,DV2_Export_Recovery
ITA,-0.08122845130566808,DV2_Export_Recovery
QAT,-0.0731450621112603,DV2_Export_Recovery
GBR,-0.06170367826277211,DV2_Export_Recovery
LKA,-0.056989655133316885,DV2_Export_Recovery
CRI,-0.048874933923406264,DV2_Export_Recovery
PLW,-0.047852211225568195,DV2_Export_Recovery
USA,-0.04671591196632511,DV2_Export_Recovery
ABW,-0.04655457750643516,DV2_Export_Recovery
GAB,-0.04356636159321718,DV2_Export_Recovery
OMN,-0.04151659297658842,DV2_Export_Recovery
PAN,-0.03862060146942231,DV2_Export_Recovery
AZE,-0.038451747879870844,DV2_Export_Recovery
IRQ,-0.03838133444998004,DV2_Export_Recovery
HKG,-0.032052673672134845,DV2_Export_Recovery
KAZ,-0.02797918609554887,DV2_Export_Recovery
MAC,-0.025819217446490038,DV2_Export_Recovery
RUS,-0.023179793814999128,DV2_Export_Recovery
ATG,-0.016895723003373664,DV2_Export_Recovery
MLT,-0.016625121668308797,DV2_Export_Recovery
DOM,-0.011098930672075546,DV2_Export_Recovery
WSM,-0.00930478795522518,DV2_Export_Recovery
SWE,-0.004341596660015712,DV2_Export_Recovery
COL,-0.0022216229507998064,DV2_Export_Recovery
CAN,0.0005493189945859678,DV2_Export_Recovery
MHL,0.005092821742021169,DV2_Export_Recovery
SLV,0.007156442463389356,DV2_Export_Recovery
NZL,0.01167698237121655,DV2_Export_Recovery
DZA,0.013308509382083866,DV2_Export_Recovery
ARG,0.014826443138572964,DV2_Export_Recovery
BRN,0.017140226485560007,DV2_Export_Recovery
LBY,0.01967733176826645,DV2_Export_Recovery
SLE,0.020264358952827122,DV2_Export_Recovery
CHL,0.025554599403181767,DV2_Export_Recovery
NOR,0.02813534669008002,DV2_Export_Recovery
BIH,0.028405015347905294,DV2_Export_Recovery
TON,0.028585914561306946,DV2_Export_Recovery
URY,0.029105614531140578,DV2_Export_Recovery
PER,0.029146350066657757,DV2_Export_Recovery
IRN,0.031199107567029215,DV2_Export_Recovery
CHN,0.03135462999589074,DV2_Export_Recovery
CHE,0.03365258947483964,DV2_Export_Recovery
ROU,0.034943088465031615,DV2_Export_Recovery
HRV,0.037741909128174024,DV2_Export_Recovery
AUT,0.04058251173481988,DV2_Export_Recovery
AUS,0.041989248801824496,DV2_Export_Recovery
AGO,0.04948327654645783,DV2_Export_Recovery
BRA,0.04983176553060339,DV2_Export_Recovery
ZAF,0.051005317271436576,DV2_Export_Recovery
ARE,0.05371002049583384,DV2_Export_Recovery
PHL,0.05395043523539832,DV2_Export_Recovery
ARM,0.056061336638183204,DV2_Export_Recovery
CUB,0.05715337544605351,DV2_Export_Recovery
GTM,0.05740111993980226,DV2_Export_Recovery
LTU,0.057551853309241376,DV2_Export_Recovery
ECU,0.05791716107240922,DV2_Export_Recovery
ALB,0.05876494561091374,DV2_Export_Recovery
SVN,0.06099096268570945,DV2_Export_Recovery
UGA,0.06485994591438754,DV2_Export_Recovery
GEO,0.06832679927923521,DV2_Export_Recovery
BHR,0.07058056786050416,DV2_Export_Recovery
CZE,0.07093081924545928,DV2_Export_Recovery
SMR,0.0713400723168417,DV2_Export_Recovery
BEL,0.07159208733131614,DV2_Export_Recovery
MEX,0.07166443504603338,DV2_Export_Recovery
SVK,0.07218945285054412,DV2_Export_Recovery
CYP,0.07249744918711142,DV2_Export_Recovery
IRL,0.07276990375842221,DV2_Export_Recovery
