country_iso3_code,country_name,wb_region,eci_pre,exposure_pre,pre_trade_openness,z_eci_pre,z_exposure_pre,z_openness_pre
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",0.3456666666666666,0.162115433081195,77.09251279876644,0.369613585665272,-0.3720413319360923,-0.2720109926728372
LBR,Liberia,Sub-Saharan Africa,-1.1686666666666667,0.1956269574278214,,-1.1613650340103807,-0.17388743963675996,
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",-1.2956666666666667,0.13632773672267587,71.10793534323095,-1.289760995730923,-0.5245241719889442,-0.3774476100287608
LCA,Saint Lucia,Latin America & Caribbean,0.49433333333333335,0.3358760528176303,,0.5199143702515236,0.6554065028140756,
LKA,Sri Lanka,South Asia,-0.37000000000000005,0.2615422883356026,46.84330587818823,-0.3539195634528496,0.2158704014711219,-0.8049431970100243
LSO,Lesotho,Sub-Saharan Africa,-0.734,0.1506637742236032,137.04522210471782,-0.721920587596766,-0.43975507579461004,0.7842391632501445
LTU,Lithuania,Europe & Central Asia,0.848,0.0678642671524306,145.72668285340467,0.8774684788748712,-0.9293491759290204,0.937189619961689
LUX,Luxembourg,Europe & Central Asia,1.2423333333333335,0.0910666754061548,336.5187617394693,1.2761362550307809,-0.7921531636367162,4.298575041992494
LVA,Latvia,Europe & Central Asia,0.79,0.0584914582956249,128.55924616492752,0.8188309530497417,-0.984770664296519,0.6347327687380885
MAC,Macao,East Asia & Pacific,0.6676666666666667,0.349405702242038,118.5437654820575,0.6951529531771984,0.735407420324165,0.45827947487710646
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",-0.3933333333333333,0.10504018052603929,72.75968656113457,-0.3775093726928441,-0.70952772410345,-0.34834696550987354
MDA,Moldova,Europe & Central Asia,-0.0356666666666666,0.0268622251577255,92.13608134779963,-0.015911296771211825,-1.171794554701813,-0.0069725680627748645
MDG,Madagascar,Sub-Saharan Africa,-1.3626666666666667,0.2819835134032584,59.73120115154728,-1.3574974479771933,0.3367395170812102,-0.5778835436666643
MDV,Maldives,South Asia,-0.8323333333333333,0.1713080846697315,148.99802016890652,-0.8213347836796006,-0.31768511483361594,0.9948242221269075
MEX,Mexico,Latin America & Caribbean,0.9503333333333334,0.7597563775677746,69.01723663742634,0.9809266422559906,3.161814010558548,-0.41428165572175313
MHL,Marshall Islands,East Asia & Pacific,-0.213,0.2222464142795708,141.54196178742816,-0.1951938469951712,-0.01648639361125208,0.8634629722488208
MKD,North Macedonia,Europe & Central Asia,0.0663333333333333,0.03498809936972191,113.938521636863,0.08720986933505039,-1.1237462001481069,0.377144033529051
MLI,Mali,Sub-Saharan Africa,-0.8569999999999999,0.0823186861318861,51.964492610183235,-0.8462725820190233,-0.8438800891731151,-0.7147178452819505
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",1.0236666666666665,0.1504701022369768,200.25838820492,1.055066042724545,-0.4409002596896312,1.8979322277118016
MMR,Myanmar,East Asia & Pacific,-1.2893333333333332,0.40322217434528634,,-1.2833580475086386,1.053624619481524,
MNE,Montenegro,Europe & Central Asia,0.19399999999999998,0.0659006087854503,104.662802596024,0.21627982560530684,-0.9409603024339975,0.213723901284729
MNG,Mongolia,East Asia & Pacific,-1.252,0.6306271081644558,104.3107780748865,-1.2456143527246473,2.3982716817354017,0.20752191375748175
MNP,Northern Mariana Islands,East Asia & Pacific,0.86,0.0,126.965307526274,0.8896003807697256,-1.3306310915232185,0.6066506694451661
MOZ,Mozambique,Sub-Saharan Africa,-1.4283333333333337,0.1748502217035759,107.7630037427527,-1.4238859111240356,-0.2967404322505768,0.2683434169418762
MRT,Mauritania,Sub-Saharan Africa,-1.8356666666666663,0.3258011523220124,89.01872444029169,-1.8356965809993702,0.5958335413729429,-0.06189433486432932
MSR,Montserrat,,1.0359999999999998,0.3056017553812447,,1.0675349418942566,0.47639435727282337,
MUS,Mauritius,Sub-Saharan Africa,0.0286666666666666,0.1759862562618941,129.25132662904932,0.049129177276201856,-0.2900230514716876,0.6469258807192235
