country_iso3_code,pre_export_intensity,pre_import_intensity,pre_total_trade_intensity,pre_log_total_trade_openness,pre_wdi_total_openness,pre_real_gdp_usd,pre_total_minus_wdi_openness,pre_wdi_compatible_export_intensity,pre_wdi_compatible_import_intensity,pre_wdi_compatible_sum,in_primary_sample
ESP,21.730101969158895,23.131131631251765,44.86123360041066,3.825125822445644,64.3127217378032,1241588945290.231,-19.451488137392545,31.15210815923289,33.16061357857031,64.3127217378032,1
EST,52.962037012185554,68.85612790100512,121.81816491319069,4.810690420438697,146.96301359246365,24243932540.16331,-25.144848679272968,63.89408813417105,83.0689254582926,146.96301359246365,1
ETH,3.6585811698297714,15.648174423638233,19.306755593468008,3.0065536601386564,35.2195982398214,68175764372.76459,-15.912842646353393,6.674024452496567,28.54557378732483,35.219598239821394,1
FIN,24.263078660325217,24.442648906917935,48.705727567243144,3.904890379545119,73.20760590919713,239843401336.05972,-24.501878341953983,36.468850573203305,36.73875533599384,73.20760590919714,1
FJI,16.940434448608908,42.65698754001956,59.59742198862847,4.1039327063234,,4844424909.703639,,,,,0
FLK,,,,,,,,,,,0
FRA,19.80486780758645,21.320692303651132,41.12556011123758,3.740407346202165,64.0810972633182,2473597408692.651,-22.955537152080616,30.859583597946422,33.22151366537178,64.0810972633182,1
FRO,43.95423216697844,36.45914284066703,80.41337500764547,4.399350788401685,105.80076098898734,2628193214.458895,-25.387385981341865,57.83106618159976,47.969694807387576,105.80076098898734,1
FSM,15.44334303366126,58.97460368123517,74.41794671489644,4.310550561626424,104.597658942033,314395211.06418747,-30.179712227136548,21.706289932296333,82.89136900973665,104.59765894203298,1
GAB,45.108476658530314,22.550660451222726,67.65913710975303,4.207748505919063,73.05063432300757,14606784816.39225,-5.391497213254539,48.70299820562179,24.347636117385793,73.05063432300759,1
GBR,13.545435915974556,19.381617230621707,32.92705314659626,3.523886432941939,60.05150023189356,3019186828372.6196,-27.124447085297305,24.70381252849318,35.347687703400396,60.05150023189358,1
GEO,14.790933399788988,49.03717644611056,63.82810984589955,4.171063075287921,98.17561401470533,15844843844.824095,-34.347504168805784,22.750305028313218,75.42530898639211,98.17561401470533,1
GHA,22.108991109564702,28.01902654744849,50.128017657013196,3.933229231011591,71.64887855310742,51933373491.92084,-21.520860896094227,31.600779224496435,40.04809932861098,71.64887855310741,1
GIB,,,,,,,,,,,0
GIN,31.84280582024579,36.663251672289746,68.50605749253553,4.229997149104337,95.1779439769105,9763199213.889816,-26.671886484374966,44.24036208414452,50.937581892765984,95.17794397691051,1
GMB,10.875700378343426,71.17888235838137,82.0545827367248,4.413713308820019,46.1233468820198,1418617139.9535143,35.931235854704994,6.113292937516071,40.01005394450373,46.1233468820198,1
GNB,23.33830811864944,23.774181092778093,47.11248921142754,3.872698557300916,55.194932076826895,1213008787.9282799,-8.082442865399358,27.34214118078185,27.85279089604504,55.19493207682689,1
GNQ,36.81702411347683,14.143609476549221,50.960633590026056,3.9354939219289515,97.96901604789093,12183369592.532763,-47.008382457864876,70.77870450407316,27.190311543817767,97.96901604789093,1
GRC,14.198960706715047,24.03914461387879,38.23810532059384,3.6680456036300684,66.6038970966479,195481235109.7112,-28.36579177605406,24.73203391905687,41.871863177591024,66.6038970966479,1
GRD,3.0084955942142653,29.001366775630455,32.00986236984472,3.4962959827669913,,1037166441.9570535,,,,,0
GRL,28.170587959937695,26.982297610583302,55.152885570521,4.026721014822604,84.3821032653985,2577577716.9761124,-29.229217694877498,43.100074233522996,41.282029031875496,84.38210326539848,1
GTM,16.71067106542797,24.874158454763833,41.584829520191796,3.751134550894784,47.44519652988143,63951721580.61477,-5.860367009689632,19.06563239511331,28.379564134768128,47.44519652988144,1
GUM,0.45313253351544086,15.346277538272465,15.799410071787905,2.8019675178957635,70.33942328513324,5823272429.481341,-54.54001321334533,2.0173589351998236,68.32206434993341,70.33942328513324,1
GUY,30.96305276621263,32.15228926148741,63.115342027700045,4.159313367525147,,4443780802.007562,,,,,0
HKG,45.22350859688117,196.3178353777308,241.54134397461198,5.490395326461048,379.3096159238714,317872638028.21814,-137.7682719492594,71.017704026752,308.29191189711935,379.3096159238713,1
HMD,,,,,,,,,,,0
