country_iso3_code,pre_established_destinations,pre_destination_entropy,pre_outside_us_china_share
UKR,187.66666666666666,3.7089194534451173,0.9266729869053756
URY,165.33333333333334,3.3494362129478947,0.7096630775515035
UZB,96.66666666666667,2.0800564042722187,0.821144189829257
VAT,24.0,1.945461093074546,0.8804464069036636
VCT,52.666666666666664,2.291597989160483,0.9872301847031171
VEN,112.66666666666667,2.3319739709287366,0.42420034250549843
VGB,87.33333333333333,2.161979703234418,0.9737588308389328
VNM,180.33333333333334,3.612335062963796,0.6232930491690183
VUT,39.666666666666664,1.6183377888718187,0.9636349328017211
WSM,47.333333333333336,2.2096043130680667,0.9163233780404023
YEM,68.33333333333333,2.0083440354776667,0.7137268208909573
ZAF,209.0,3.677185710859291,0.7324280175413065
ZMB,104.0,3.123941723920501,0.6631363672601269
ZWE,116.66666666666667,2.8628551605231682,0.6989949837678358
