country_iso3_code,year,indicator,value
BEL,2014,NV.IND.MANF.ZS,12.5837894914118
BEL,2013,NV.IND.MANF.ZS,12.6643780300003
BEL,2012,NV.IND.MANF.ZS,12.6215764552248
BLZ,2017,NV.IND.MANF.ZS,6.64534080720309
BLZ,2016,NV.IND.MANF.ZS,6.81637402167735
BLZ,2015,NV.IND.MANF.ZS,6.96229937857461
BLZ,2014,NV.IND.MANF.ZS,7.05642700345171
BLZ,2013,NV.IND.MANF.ZS,7.36889396818172
BLZ,2012,NV.IND.MANF.ZS,7.44862965019521
BEN,2017,NV.IND.MANF.ZS,9.62006825024772
BEN,2016,NV.IND.MANF.ZS,9.93126564010032
BEN,2015,NV.IND.MANF.ZS,10.0356700779199
BEN,2014,NV.IND.MANF.ZS,10.3866281769808
BEN,2013,NV.IND.MANF.ZS,10.9217698965752
BEN,2012,NV.IND.MANF.ZS,10.7121556949179
BMU,2017,NV.IND.MANF.ZS,0.463659126815448
BMU,2016,NV.IND.MANF.ZS,0.431063531109314
BMU,2015,NV.IND.MANF.ZS,0.5141752075763
BMU,2014,NV.IND.MANF.ZS,0.480075734472843
BMU,2013,NV.IND.MANF.ZS,0.51712437029792
BMU,2012,NV.IND.MANF.ZS,0.597959796732238
BTN,2017,NV.IND.MANF.ZS,6.90939675932641
BTN,2016,NV.IND.MANF.ZS,6.8108295975252
BTN,2015,NV.IND.MANF.ZS,7.31166063328875
BTN,2014,NV.IND.MANF.ZS,7.40898619356801
BTN,2013,NV.IND.MANF.ZS,7.50187955590297
BTN,2012,NV.IND.MANF.ZS,7.95902922340763
BOL,2017,NV.IND.MANF.ZS,11.56848905963
BOL,2016,NV.IND.MANF.ZS,10.9842215418371
BOL,2015,NV.IND.MANF.ZS,10.1911908480799
BOL,2014,NV.IND.MANF.ZS,9.73832796276455
BOL,2013,NV.IND.MANF.ZS,9.92781122691066
BOL,2012,NV.IND.MANF.ZS,10.2142087811062
BIH,2017,NV.IND.MANF.ZS,12.563982485703
BIH,2016,NV.IND.MANF.ZS,11.8138263612325
BIH,2015,NV.IND.MANF.ZS,11.1177921569749
BIH,2014,NV.IND.MANF.ZS,10.9401950797352
BIH,2013,NV.IND.MANF.ZS,10.9371163819976
BIH,2012,NV.IND.MANF.ZS,10.545110406553
