mode,dv,stratifier,group,coef,pvalue,n,pooled_coef,reversal,sig_reversal
controlled_yearfe,H2_DV2_ExportRecovery,rents_q4,rents_q4_3,-0.2001559261011649,5.149143752883508e-07,464,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_4,-0.4584554032704031,0.00014254343475072524,282,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_3,0.01889002478671554,0.8321958635959588,319,-0.1145195526599526,1,0
controlled_yearfe,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_1,-0.03575192764942363,0.5557673300028614,350,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,tariff_q4,tariff_q4_2,-0.08935339628871916,0.049844961593713814,363,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,intensity_q4,intensity_q4_4,-0.04620827842243803,0.5063198968025573,402,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,intensity_q4,intensity_q4_3,-0.2955519143011437,0.0002282568856736076,454,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,gpr_time_q4,gprQ2,-0.0881041253250681,0.4442648497360636,512,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,gpr_time_q4,gprQ1,-0.11536238989233702,0.0015133578143409381,556,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,post_group,post,-0.10311266478824506,0.11580474463223318,519,-0.1145195526599526,0,0
controlled_yearfe,H2_DV2_ExportRecovery,exposed_group,exposed,-0.10557939005923618,0.07565259923120268,569,-0.1145195526599526,0,0
controlled_yearfe,H3_DV3_Diversification,_pooled,ALL,-0.013242576157408757,0.2384590262144647,1729,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,size_q4,size_q4_1,-0.04192751355221313,0.3372879697776533,210,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,size_q4,size_q4_2,-0.049809821181405686,0.12399851979603234,437,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,size_q4,size_q4_3,0.07884507817022023,0.00011297447760893193,533,-0.013242576157408757,1,1
controlled_yearfe,H3_DV3_Diversification,size_q4,size_q4_4,0.016765358353102267,0.19582608162909498,549,-0.013242576157408757,1,0
controlled_yearfe,H3_DV3_Diversification,income_q4,income_q4_4,0.010745672947984149,0.6661836485632151,425,-0.013242576157408757,1,0
controlled_yearfe,H3_DV3_Diversification,income_q4,income_q4_1,-0.006562912089823361,0.849467031511826,448,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,income_q4,income_q4_2,0.09501792412527205,0.020859259691220346,442,-0.013242576157408757,1,1
controlled_yearfe,H3_DV3_Diversification,income_q4,income_q4_3,0.078627714265823,0.012325034571135507,414,-0.013242576157408757,1,1
controlled_yearfe,H3_DV3_Diversification,eci_t3,eci_t3_2,-0.12831674417663136,0.11702232383052899,559,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,eci_t3,eci_t3_3,0.10046225562831992,0.004369896147424201,556,-0.013242576157408757,1,1
controlled_yearfe,H3_DV3_Diversification,eci_t3,eci_t3_1,-0.006965204275619521,0.8419255416933876,614,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,coi_q4,coi_q4_2,-0.044250515055264075,0.23487763376318607,344,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,coi_q4,coi_q4_3,-0.028317073470131127,0.16289973815395578,408,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,coi_q4,coi_q4_1,-0.07486710245618458,0.1333325208997477,444,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,coi_q4,coi_q4_4,-0.06077446254614647,0.06204493409987322,533,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,wgi_q4,wgi_q4_4,-0.0067720294296602646,0.7649766704349343,456,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,wgi_q4,wgi_q4_1,0.011681218339595376,0.7672172302925353,407,-0.013242576157408757,1,0
controlled_yearfe,H3_DV3_Diversification,wgi_q4,wgi_q4_2,-0.007105531426894301,0.7877888737641782,457,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,wgi_q4,wgi_q4_3,0.07825052676734695,0.009800748429394593,409,-0.013242576157408757,1,1
controlled_yearfe,H3_DV3_Diversification,open_q4,open_q4_4,0.047764085189821094,0.025048185536001424,419,-0.013242576157408757,1,1
controlled_yearfe,H3_DV3_Diversification,open_q4,open_q4_1,-0.02849670380667503,0.15532732543198688,444,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,open_q4,open_q4_3,-0.028212529756357935,0.336444805218599,428,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,open_q4,open_q4_2,-0.019504133509197687,0.3873563358283638,438,-0.013242576157408757,0,0
controlled_yearfe,H3_DV3_Diversification,rents_q4,rents_q4_1,0.040752917698140795,0.1806686809762472,359,-0.013242576157408757,1,0
controlled_yearfe,H3_DV3_Diversification,rents_q4,rents_q4_2,0.02322946972477133,0.33512174443502024,470,-0.013242576157408757,1,0
