outcome_key,outcome,excluded_country,regime,estimate,se,p_cluster,n_obs,n_countries
gvc,Adverse forward-GVC deviation stability,KAZ,R1,0.4017967735271887,0.2643467684731161,0.13267035173084624,847,77
gvc,Adverse forward-GVC deviation stability,KAZ,R2,-0.1359912568863132,0.3034804571480414,0.6553519184051787,847,77
gvc,Adverse forward-GVC deviation stability,KEN,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,KEN,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,KGZ,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,KGZ,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,KHM,R1,0.38505091245426815,0.26990773295245574,0.15778993652291495,847,77
gvc,Adverse forward-GVC deviation stability,KHM,R2,-0.13599125688631586,0.303480457148041,0.655351918405172,847,77
gvc,Adverse forward-GVC deviation stability,KIR,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,KIR,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,KNA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,KNA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,KOR,R1,0.3877419734441396,0.2676043841178333,0.15146874476363584,847,77
gvc,Adverse forward-GVC deviation stability,KOR,R2,-0.34308673419479535,0.22446944516189213,0.13055638264803648,847,77
gvc,Adverse forward-GVC deviation stability,KWT,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,KWT,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,LAO,R1,0.42330398536576086,0.25901708338294166,0.10633794896529539,847,77
gvc,Adverse forward-GVC deviation stability,LAO,R2,-0.13599125688631852,0.3034804571480414,0.655351918405166,847,77
gvc,Adverse forward-GVC deviation stability,LBN,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
