DATAFLOW,MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MULT
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,AUT,_T,W,PT_EXGR,A,2014,71.02,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BEL,_T,W,PT_EXGR,A,2014,63.427,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CAN,_T,W,PT_EXGR,A,2014,79.272,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CHL,_T,W,PT_EXGR,A,2014,83.377,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,COL,_T,W,PT_EXGR,A,2014,88.409,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CRI,_T,W,PT_EXGR,A,2014,81.72,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CZE,_T,W,PT_EXGR,A,2014,58.335,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,DNK,_T,W,PT_EXGR,A,2014,67.409,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EST,_T,W,PT_EXGR,A,2014,62.225,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,FIN,_T,W,PT_EXGR,A,2014,70.341,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,FRA,_T,W,PT_EXGR,A,2014,77.247,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,DEU,_T,W,PT_EXGR,A,2014,76.537,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,GRC,_T,W,PT_EXGR,A,2014,70.693,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,HUN,_T,W,PT_EXGR,A,2014,54.299,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ISL,_T,W,PT_EXGR,A,2014,70.054,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,IRL,_T,W,PT_EXGR,A,2014,54.224,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ISR,_T,W,PT_EXGR,A,2014,79.93,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ITA,_T,W,PT_EXGR,A,2014,77.147,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,JPN,_T,W,PT_EXGR,A,2014,82.825,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,KOR,_T,W,PT_EXGR,A,2014,63.91,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,LVA,_T,W,PT_EXGR,A,2014,75.022,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,LTU,_T,W,PT_EXGR,A,2014,67.631,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,LUX,_T,W,PT_EXGR,A,2014,38.595,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MEX,_T,W,PT_EXGR,A,2014,70.909,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,NLD,_T,W,PT_EXGR,A,2014,71.847,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,NZL,_T,W,PT_EXGR,A,2014,86.146,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,NOR,_T,W,PT_EXGR,A,2014,86.353,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,POL,_T,W,PT_EXGR,A,2014,70.624,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,PRT,_T,W,PT_EXGR,A,2014,69.475,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SVK,_T,W,PT_EXGR,A,2014,53.149,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SVN,_T,W,PT_EXGR,A,2014,66.017,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ESP,_T,W,PT_EXGR,A,2014,75.351,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SWE,_T,W,PT_EXGR,A,2014,75.803,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CHE,_T,W,PT_EXGR,A,2014,78.611,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,TUR,_T,W,PT_EXGR,A,2014,77.86,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,GBR,_T,W,PT_EXGR,A,2014,83.603,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,USA,_T,W,PT_EXGR,A,2014,90.153,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,G20,_T,W,PT_EXGR,A,2014,94.064,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EA19,_T,W,PT_EXGR,A,2014,81.939,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU15,_T,W,PT_EXGR,A,2014,85.101,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU28,_T,W,PT_EXGR,A,2014,86.413,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU27_2020,_T,W,PT_EXGR,A,2014,83.991,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EU28XEU15,_T,W,PT_EXGR,A,2014,68.842,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,OECD,_T,W,PT_EXGR,A,2014,91.15,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,WXOECD,_T,W,PT_EXGR,A,2014,90.808,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,AGO,_T,W,PT_EXGR,A,2014,91.841,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ARG,_T,W,PT_EXGR,A,2014,90.026,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BGD,_T,W,PT_EXGR,A,2014,84.515,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BLR,_T,W,PT_EXGR,A,2014,68.761,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BRA,_T,W,PT_EXGR,A,2014,89.349,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BRN,_T,W,PT_EXGR,A,2014,88.617,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,BGR,_T,W,PT_EXGR,A,2014,62.91,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,KHM,_T,W,PT_EXGR,A,2014,68.282,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CMR,_T,W,PT_EXGR,A,2014,83.963,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CHN,_T,W,PT_EXGR,A,2014,82.057,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CIV,_T,W,PT_EXGR,A,2014,90.393,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,HRV,_T,W,PT_EXGR,A,2014,76.973,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,CYP,_T,W,PT_EXGR,A,2014,69.261,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,COD,_T,W,PT_EXGR,A,2014,87.332,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,EGY,_T,W,PT_EXGR,A,2014,90.236,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,HKG,_T,W,PT_EXGR,A,2014,80.406,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,IND,_T,W,PT_EXGR,A,2014,75.859,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,IDN,_T,W,PT_EXGR,A,2014,86.236,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,JOR,_T,W,PT_EXGR,A,2014,67.937,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,KAZ,_T,W,PT_EXGR,A,2014,92.079,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,LAO,_T,W,PT_EXGR,A,2014,89.051,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MYS,_T,W,PT_EXGR,A,2014,65.092,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MLT,_T,W,PT_EXGR,A,2014,59.739,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MAR,_T,W,PT_EXGR,A,2014,71.135,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,MMR,_T,W,PT_EXGR,A,2014,88.396,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,NGA,_T,W,PT_EXGR,A,2014,95.022,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,PAK,_T,W,PT_EXGR,A,2014,89.754,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,PER,_T,W,PT_EXGR,A,2014,86.389,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,PHL,_T,W,PT_EXGR,A,2014,79.692,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ROU,_T,W,PT_EXGR,A,2014,77.041,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,RUS,_T,W,PT_EXGR,A,2014,91.589,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,STP,_T,W,PT_EXGR,A,2014,75.958,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SAU,_T,W,PT_EXGR,A,2014,92.605,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SEN,_T,W,PT_EXGR,A,2014,73.439,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,SGP,_T,W,PT_EXGR,A,2014,54.47,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ZAF,_T,W,PT_EXGR,A,2014,75.82,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,TWN,_T,W,PT_EXGR,A,2014,59.898,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,THA,_T,W,PT_EXGR,A,2014,62.289,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,TUN,_T,W,PT_EXGR,A,2014,67.964,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,UKR,_T,W,PT_EXGR,A,2014,72.853,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,ARE,_T,W,PT_EXGR,A,2014,81.831,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,VNM,_T,W,PT_EXGR,A,2014,62.82,0
OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),EXGR_DVA,APEC,_T,W,PT_EXGR,A,2014,92.428,0
