country_iso3_code,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre
FIN,15443828.462,13938441.500999996,0.3376688248533332,0.0364736045139565,0.1631894029068323,0.0211373920529628,0.0039411762135522,0.0182456151917525,0.3559806111889456,0.0422232765168239,0.3341068825137939,0.0402920923740572,0.0045112328458579,0.2668964606791306,0.755078920469299,0.0871492900901906,0.7824383612915095
FJI,842690.7139999989,1166586.6470000052,0.0474629924544297,0.0152414930350016,0.1452687868799164,0.0002649833400205,8.160437720507225e-06,0.0433975154183294,0.891751408334613,0.0389642211747542,0.5768124157176279,0.0597639183193847,0.0035936092461394,0.171781017308352,0.999243302448448,0.0578074838936158,0.9372597353242258
FLK,44500.26800000001,0.0,0.0014169352867717,0.000286714904426,,0.0,0.0,,0.99733183629366,0.0030103507363997,,0.0012512284195681,0.0001654632019385,,1.0,0.0034625288427643,0.0
FRA,124617940.99200006,155978541.56500033,0.4244088043742852,0.0252947149552853,0.1210263104052248,0.0278476894608841,0.002803242112534,0.0177322747234907,0.242795673786188,0.0378708430304644,0.296392662094063,0.1782412062756347,0.0192327922549458,0.3076664515932892,0.8732933738969921,0.0852015923532296,0.7428176988160679
FSM,1871.278,52555.69100000003,0.2783605642774617,0.033685241118258,0.3182862727463709,0.0,0.0,0.0300498570173875,0.6867771651245834,0.2133248406271143,0.3589032441795887,0.0348622705979549,0.0090632581115876,0.1546687113294733,1.0000000000000002,0.2560733398569599,0.8619080852728205
GAB,659570.3669999999,1488693.8569999991,0.002382253780058,0.00046903683442,0.3542586110100407,0.0006640777419886,2.869248117568968e-05,0.0386222558316098,0.5378095223007497,0.0064560699154665,0.3153548869651849,0.014860465979667,0.0011133392780578,0.2078708295496109,0.5557163198024635,0.00806713850912,0.9161065833564463
GBR,158292746.37299928,186307267.41700053,0.4090567220839177,0.0259029634710004,0.1090757407627871,0.0268837010634233,0.0024025021251446,0.0112192738478717,0.1598557402079176,0.0284579923321336,0.3455773058433313,0.1540051149694262,0.0138694041787558,0.2847887142064237,0.7498012783246848,0.0706328621070346,0.750661034660414
GEO,406047.521,2107861.3779999963,0.1421332332182863,0.0090419497059396,0.1563073575135265,0.0051105865512721,0.0002149994076337,0.0292338014459317,0.7506621620280741,0.0123876109561974,0.408619361780441,0.047026865114145,0.0158431731525376,0.2682189691887802,0.9449328469117776,0.0374877332223084,0.8623794899286796
GHA,1440833.078,9253305.602999965,0.0033468561165278,0.0004602079752749,0.169515582138718,0.0001365154666444,1.4942624553985523e-05,0.0318923943141274,0.4464752224407223,0.0092489146704839,0.397167996786847,0.5220005130948276,0.0069642317621562,0.3234550140686641,0.9719591071187224,0.0166882970324691,0.9220309873083568
GIB,934.209,207893.75099999973,0.1137133125456937,0.02482805383455,0.0312589241799769,0.0036105411101798,0.0013759993972448,0.0033981204177705,0.1427539233726072,0.02994440380194,0.0078017400340234,0.6623153919519079,0.0705874903546477,0.0029224976560262,0.9223931689803888,0.1267359473883827,0.0453812822877971
GIN,144568.12200000003,2994993.944000003,0.0441237591783892,0.0104130534372888,0.1686928439411894,0.0004203692982883,4.007601407076801e-05,0.0336524059428949,0.0545560037087567,0.0069775660355205,0.3521925071378377,0.1755592840861556,0.0049319790996557,0.3112241074367929,0.2746594162715899,0.0223626745865358,0.8657618644587151
GMB,2208.150000000001,1050565.2099999993,0.2537069492561645,0.0278425446027455,0.0253578956797931,0.0015225414940108,0.0006919895470758,0.0065598831318619,0.4853918438511873,0.0719319591259977,0.6465784175358328,0.2316572696601225,0.0320506438684412,0.2246700069194181,0.9722786042614852,0.1325171371442604,0.903166203266906
GNB,139.62400000000002,75478.31299999997,0.1152237437689795,0.01722151132484,0.0714793797789307,0.0,0.0,0.0090796676920958,0.1414011917721881,0.0108965157461651,0.5782101674689002,0.7433750644588322,0.0773858028845758,0.2244825477220193,0.9999999999999998,0.1055038299555809,0.8832517626619462
GNQ,743581.465,575785.0610000016,0.0002034746791328,3.10998161067903e-05,0.2992982167698155,4.461380704264865e-05,5.502809592559784e-06,0.0550376610066302,0.9994477282996824,0.0014377043213607,0.3927146574579144,0.000271936579269,7.928800395451353e-06,0.193041408207011,0.9999677533651272,0.0014822357474555,0.9400919434413711
GRC,4234313.587000007,10330644.144000037,0.0833874571982662,0.0132557273271333,0.0935364115277569,0.0165193773590014,0.0029264765454306,0.0103266591620968,0.4932894798847124,0.0613933226486218,0.3598664526799308,0.3299277404226877,0.0355385841214819,0.2853360054718377,0.9231240548646678,0.1131141106426677,0.7490655288416224
GRD,44470.18100000003,33207.68700000001,0.0342769911370497,0.0053627413679505,0.1506247634772032,0.0030454789468925,0.000620410888842,0.0486996881173928,0.7457254558959402,0.0130065921221311,0.5123805220158814,0.2132470969704395,0.0069677519415903,0.2036600441337571,0.996295022950322,0.025957496320514,0.9153650177442344
GRL,17515.773,46503.97800000003,0.00644367793531,0.0008591964407284,0.0531382713108972,0.0003644714966333,0.000111887736145,0.0037656778523334,0.962394180376738,0.1431853272182028,0.3187310556529165,0.0071481287180417,0.0006259349326559,0.4422822064813464,0.9763504585267232,0.1447823463277323,0.8179172112974936
