country_iso3_code,eci_pre_raw,coi_pre_raw,baseline_log_gdp_pc,baseline_trade_open,baseline_wgi,baseline_rents,baseline_export_value,nexus_exposure_pre,z_eci_pre_raw,z_coi_pre_raw,z_baseline_log_gdp_pc,z_baseline_trade_open,z_baseline_wgi,z_baseline_rents,z_nexus_exposure_pre,exposed_top_tercile_pre,exposed_top_quartile_pre,exposure_tercile_threshold,exposure_quartile_threshold,us_export_market_dependence_pre,china_export_market_dependence_pre,china_import_dependence_pre,wb_income_id,wb_income_name,wb_region
CXR,0.8303333333333334,-0.5840000000000001,,,,,22147313.666666668,0.0458275197687375,0.8451651350982843,-0.4435861188679011,,,,,-1.0593837927429455,0,0,0.26917599908681505,0.317817685580497,0.06287674389937331,0.0,0.0,,,
CYM,0.54,-0.9216666666666667,11.25209060686223,117.436583958714,0.8915629166666666,0.0,1389682617.3333333,0.1867541196593594,0.5526180267317514,-0.8280783596687683,1.7573641718420256,0.5060853275111924,1.0081945966107229,-0.6524528039822401,-0.22319691176423148,0,0,0.26917599908681505,0.317817685580497,0.06659607845011303,2.7110064681175992e-06,0.0344647874669004,HIC,High income,Latin America & Caribbean
CYP,0.5976666666666667,0.03466666666666667,10.101846488221,141.43729349752536,0.9000485500000001,0.008906899120990767,3376315672.6666665,0.0546055005316293,0.6107243984279743,0.26087350494888994,0.9484812471425162,0.9341355790309837,1.0175573203036397,-0.6512776583680713,-1.0072997123698257,0,0,0.26917599908681505,0.317817685580497,0.014002394387692324,0.014281477454895533,0.05145613568825769,HIC,High income,Europe & Central Asia
CZE,1.4873333333333332,0.6646666666666666,9.825955384553282,150.10541350561002,0.9580374944444444,0.332210359572778,146170273506.66666,0.0743577773367901,1.5071747224581422,0.9782381003226693,0.7544671250821144,1.0887306314674263,1.0815401065907237,-0.60862211254515,-0.8900997320484761,0,0,0.26917599908681505,0.317817685580497,0.02546076489814256,0.017031985219270605,0.09211938910589096,HIC,High income,Europe & Central Asia
DEU,1.572,-1.3666666666666665,10.660974661650265,77.0724704198475,1.565417588888889,0.06949864202918103,1280748605683.6667,0.1545775251876874,1.5924869676075102,-1.3347882722740565,1.3416753742636516,-0.2138045959406664,1.7517001026068437,-0.6432833923540321,-0.41411648402856466,0,0,0.26917599908681505,0.317817685580497,0.09492005126279109,0.06685789545842667,0.08868176868670972,HIC,High income,Europe & Central Asia
DJI,-0.46799999999999997,-0.6653333333333333,7.820104510174367,262.46780708867266,-0.8571463333333323,0.5728135971336704,109731880.33333331,0.4962612272095462,-0.46306791551898974,-0.536198267688643,-0.6561017232901096,3.092702670578139,-0.9212643941144717,-0.576877749491998,1.6132610961917,1,1,0.26917599908681505,0.317817685580497,0.24107826136466837,0.0025830456435463824,0.4700269484852224,LMC,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
DMA,0.08333333333333333,-0.11366666666666665,9.018358946791308,,0.5080711222222222,0.05454917665495137,63371665.0,0.3900914689428554,0.09246930289461006,0.091970200747127,0.18654336179829217,,0.585064398917669,-0.6452557733622882,0.9833036638248386,1,1,0.26917599908681505,0.317817685580497,0.02638729093319453,0.01059581611256953,0.1413596592826439,UMC,Upper middle income,Latin America & Caribbean
DNK,1.062,1.5776666666666668,10.902686482676591,103.59960772766134,1.7398149666666667,0.44472108501756163,80547625502.33333,0.10899398512479501,1.0785982468258852,2.017847426634195,1.511653695871747,0.25930424187713846,1.9441235077625216,-0.5937778346705066,-0.6845860633609383,0,0,0.26917599908681505,0.317817685580497,0.07786635500612886,0.041390668847684504,0.07367055378842989,HIC,High income,Europe & Central Asia
DOM,-0.15,0.35966666666666663,8.870002464311414,51.612438847365205,-0.26810516666666645,0.9508801104504107,9611191591.333334,0.5466558043753814,-0.14264318373750595,0.6309425422448873,0.08221505139734332,-0.6678817098143008,-0.27133887051341743,-0.5269969549580985,1.9122769266399384,1,1,0.26917599908681505,0.317817685580497,0.5009222019768274,0.016121271488050145,0.10035839639839779,UMC,Upper middle income,Latin America & Caribbean
DZA,-1.043,-1.2583333333333333,8.462124529936686,50.928790518064936,-0.7720859722222214,14.3722757075962,30376630525.0,0.165597299089864,-1.0424522575767041,-1.2114319265087243,-0.20461579705521069,-0.6800745093161176,-0.8274120407285873,1.2437757862355596,-0.3487307415533792,0,0,0.26917599908681505,0.317817685580497,0.10471833834526179,0.015183538691146909,0.158678268525101,UMC,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ECU,-0.9129999999999999,-1.0903333333333334,8.695442294580033,43.993418274909665,-0.5566485777777775,4.4579373405542935,17740451200.666668,0.4016817066314163,-0.9114610150245253,-1.0201347010757165,-0.04054040402298798,-0.8037661788588596,-0.5897066487949411,-0.06428789464288362,1.0520742487259265,1,1,0.26917599908681505,0.317817685580497,0.3186741641177408,0.04904525926428654,0.1559916090353168,UMC,Upper middle income,Latin America & Caribbean
EGY,-0.04633333333333333,1.618,8.125585422103727,35.97487545654474,-0.8852762611111098,4.345671280615637,24918173274.33333,0.1775568380704391,-0.03818606467666583,2.0637739430575954,-0.44127924389052964,-0.9467760871564835,-0.9523018819411548,-0.07909989219274075,-0.27776891031731654,0,0,0.26917599908681505,0.317817685580497,0.05100662138712706,0.028680225797573993,0.1529267212454703,LMC,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
ERI,-1.467666666666667,-1.0736666666666668,,,-1.5384617888888874,,340163134.0,0.3098137118684742,-1.4703569832471555,-1.001156801727204,,,-1.6730018434598664,,0.5069762185299579,1,0,0.26917599908681505,0.317817685580497,0.0007236788223249661,0.4137779209276047,0.20991844706215704,LIC,Low income,Sub-Saharan Africa
